noteId	tweetId	summary	classification	trustworthySources
1982613613379530973	1982501989775970403	I like carrot cake.     https://en.wikipedia.org/wiki/Carrot_cake	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982608958285107508	1982516690375307312	The island of Dominica is on the eastern side of the Caribbean and not in the path of the hurricane. Geographers know that the Dominican Republic is on the Island of Hispaniola.     https://en.wikipedia.org/wiki/Dominica    https://en.wikipedia.org/wiki/Dominican_Republic	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982608889792106874	1981849875949191413	Clouds  https://en.wikipedia.org/wiki/Cloud 	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982607259810115909	1981915374611263617	Mom Laferte es una cantante chilena nacionalizada mexicana en 2022.   https://es.wikipedia.org/wiki/Mon_Laferte	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982603373611516286	1982432261627883945	The current monarch is the king of the United Kingdom and is also the monarch of the individual parts  of said kingdom (and some associated commonwealth countries)   NNN  https://en.wikipedia.org/wiki/England	NOT_MISLEADING	1
1982601015460339930	1982449786390274217	No they didn't. The interview was part of a documentary about settlers not his podcast     https://www.bbc.co.uk/programmes/p0l6k9rr      https://en.wikipedia.org/wiki/Louis_Theroux:_The_Settlers  	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982592461361844688	1982294257814618313	The video does not depict comet 3I/ATLAS which can't be seen from earth currently. (it's behind the sun)    The video does not match any photos/videos of the comet &amp; has sound added as well.    https://science.nasa.gov/solar-system/comets/3i-atlas/  https://en.wikipedia.org/wiki/3I/ATLAS  https://science.nasa.gov/solar-system/comets/3i-atlas/comet-3i-atlas-multimedia/    The video appears to be of protozoan in water such as a  Paramecia or similar.    https://www.britannica.com/video/Paramecia-organisms-pond-water/-157663	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982591951590289441	1982590493310775531	Trata-se de uma imagem da Cúpula EUA-ASEAN (a Associação das Nações do Sudeste Asiático).     Ela reúne o presidente dos EUA e representantes de países do Sudeste Asiático. Não há motivos para Lula estar na foto.    https://x.com/WhiteHouse/status/1982450258513739783  https://en.wikipedia.org/wiki/ASEAN_Summit	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982588336905601096	1982436848354881795	Since July 2025, IRS says religious institutions can endorse political candidates: https://www.npr.org/2025/07/08/nx-s1-5460886/irs-now-says-pastors-can-endorse-political-candidates    Clergy &quot;are allowed to endorse political candidates in their &quot;usual channels of communication&quot; with no tax-related consequences.&quot;  https://en.wikipedia.org/wiki/Johnson_Amendment	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
1982587889570492478	1982437893915496788	This picture was taken &quot;in the Entrance Hall at the State Dinner on November 9, 1985.&quot; This room is part of the main residence, not the East Wing.     https://www.whitehousehistory.org/photos/notable-british-visitors-princess-diana-dancing    https://en.wikipedia.org/wiki/Entrance_Hall	MISINFORMED_OR_POTENTIALLY_MISLEADING	1
